,county,up18_fiber,up18_cable,up18_DSL,up18_total,down14_fiber,down14_cable,down14_DSL,down14_total,up15_fiber,up15_cable,up15_DSL,up15_total,down15_fiber,down15_cable,down15_DSL,down15_total,up16_fiber,up16_cable,up16_DSL,up16_total,down16_fiber,down16_cable,down16_DSL,down16_total,up17_fiber,up17_cable,up17_DSL,up17_total,down17_fiber,down17_cable,down17_DSL,down17_total,2018_FIBER_YES,state_code,POP10,num_blocks,StateAbbr,countystate,Q3 2018 Price
1696,30047,3.0,2.0,11.0,20.0,1.0,2.0,8.0,12.0,1.0,2.0,8.0,12.0,1.0,2.0,8.0,12.0,1.0,2.0,9.0,14.0,3.0,2.0,10.0,16.0,3.0,2.0,10.0,18.0,3.0,2.0,11.0,19.0,1,30,23246.0,1918,MT,30047,245555.0
1697,30049,5.0,1.0,12.0,22.0,2.0,1.0,10.0,18.0,2.0,1.0,10.0,18.0,3.0,1.0,7.0,14.0,3.0,1.0,9.0,17.0,4.0,1.0,10.0,19.0,4.0,1.0,11.0,19.0,5.0,1.0,12.0,22.0,1,30,63395.0,4890,MT,30049,267579.0
1698,30051,3.0,0.0,2.0,7.0,2.0,0.0,2.0,7.0,3.0,0.0,3.0,9.0,3.0,0.0,2.0,7.0,3.0,0.0,2.0,7.0,3.0,0.0,2.0,7.0,3.0,0.0,2.0,7.0,3.0,0.0,2.0,7.0,1,30,2339.0,1029,MT,30051,118340.0
1699,30053,1.0,1.0,4.0,7.0,1.0,1.0,5.0,8.0,1.0,1.0,4.0,6.0,1.0,1.0,4.0,6.0,1.0,1.0,5.0,7.0,1.0,1.0,5.0,7.0,1.0,1.0,5.0,7.0,1.0,1.0,5.0,8.0,1,30,17790.0,2173,MT,30053,192302.0
1700,30055,1.0,0.0,4.0,7.0,1.0,0.0,4.0,7.0,1.0,0.0,4.0,7.0,1.0,0.0,4.0,8.0,1.0,0.0,4.0,7.0,1.0,0.0,4.0,7.0,1.0,0.0,4.0,7.0,1.0,0.0,4.0,7.0,1,30,1653.0,391,MT,30055,122613.0
1701,30057,2.0,0.0,6.0,11.0,1.0,0.0,3.0,8.0,1.0,0.0,3.0,8.0,1.0,0.0,3.0,8.0,1.0,0.0,4.0,9.0,2.0,0.0,4.0,10.0,2.0,0.0,4.0,10.0,2.0,0.0,4.0,10.0,1,30,7518.0,2565,MT,30057,276345.0
1702,30059,1.0,0.0,2.0,6.0,1.0,0.0,2.0,5.0,1.0,0.0,2.0,5.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,5.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,6.0,1,30,1247.0,506,MT,30059,149349.0
1703,30061,1.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,4.0,1,30,2106.0,89,MT,30061,175099.0
1704,30063,2.0,1.0,8.0,16.0,0.0,1.0,9.0,13.0,1.0,1.0,8.0,13.0,1.0,1.0,6.0,11.0,1.0,1.0,8.0,12.0,2.0,1.0,8.0,14.0,2.0,1.0,9.0,17.0,2.0,1.0,8.0,16.0,1,30,107900.0,3803,MT,30063,317097.0
1705,30065,2.0,0.0,3.0,7.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,2.0,0.0,3.0,7.0,2.0,0.0,3.0,7.0,1,30,4522.0,1304,MT,30065,176852.0
1706,30067,2.0,1.0,6.0,13.0,1.0,1.0,7.0,14.0,1.0,1.0,7.0,15.0,1.0,1.0,4.0,10.0,1.0,1.0,5.0,11.0,2.0,1.0,5.0,12.0,2.0,1.0,6.0,13.0,2.0,1.0,6.0,13.0,1,30,15167.0,2091,MT,30067,258156.0
1707,30069,1.0,0.0,2.0,3.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1,30,454.0,571,MT,30069,122723.0
1708,30071,2.0,1.0,4.0,9.0,1.0,1.0,4.0,8.0,1.0,1.0,4.0,8.0,1.0,1.0,4.0,8.0,2.0,1.0,4.0,9.0,2.0,1.0,4.0,9.0,2.0,1.0,4.0,9.0,2.0,1.0,4.0,9.0,1,30,4065.0,1604,MT,30071,129078.0
1709,30073,2.0,0.0,4.0,8.0,1.0,0.0,4.0,6.0,1.0,0.0,3.0,5.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,6.0,1.0,0.0,5.0,7.0,1.0,0.0,5.0,7.0,1.0,0.0,4.0,7.0,1,30,5397.0,761,MT,30073,133790.0
